date,method,n,accuracy,mae,mae_zero,good
2025-11-26,ridge_full,10,0.5,1.7033956513909474,1.6003643191796413,False
2025-11-27,ridge_full,10,0.6,1.480071212863356,1.5478869343539492,False
2025-11-28,ridge_full,10,0.5,0.8321989335106703,0.9424982434289065,False
2025-12-01,ridge_full,10,0.4,2.5388055853345817,2.3134785635788404,False
2025-12-02,ridge_full,10,0.2,1.5596530841926415,1.4290116397232944,False
2025-12-03,ridge_full,10,0.6,2.133840717302671,2.1394818754316147,False
2025-12-04,ridge_full,10,0.4,1.391126066924608,1.2901347050924783,False
2025-12-05,ridge_full,10,0.2,0.915971399522577,0.8283731311712128,False
2025-12-08,ridge_full,10,0.6,1.0537422414188067,0.9744213102707899,False
2025-12-09,ridge_full,10,0.3,1.4897487800162736,1.5255853614373316,False
2025-12-10,ridge_full,10,0.7,2.0477282614733534,2.0900610457353705,False
2025-12-11,ridge_full,10,0.4,2.369281854293173,2.277012866625806,False
2025-12-12,ridge_full,10,0.6,1.1345039114875168,1.1834926391834855,False
2025-12-15,ridge_full,10,0.6,2.2047918970384583,2.1528007080815073,False
2025-12-16,ridge_full,10,0.4,1.950950156082251,1.971575088909865,False
2025-12-17,ridge_full,10,0.2,2.204628004901914,2.0381775611241273,False
2025-12-18,ridge_full,10,0.4,1.3502496343927974,1.3043573659643715,False
2025-12-19,ridge_full,10,0.7,0.6343580195083589,0.6727299161897149,True
2025-12-22,ridge_full,10,0.9,1.4453360115366203,1.68633516357507,False
2025-12-23,ridge_full,10,0.3,1.5008491413768112,1.3417459088778971,False
2025-12-24,ridge_full,10,0.2,0.8321258647830112,0.748357776942622,False
2025-12-26,ridge_full,10,0.4,0.6504670442125108,0.6797534080988621,False
2025-12-29,ridge_full,10,0.5,1.5237028706841174,1.517148130087479,False
2025-12-30,ridge_full,10,0.4,1.2022710380638983,1.1740316688845054,False
2025-12-31,ridge_full,10,0.5,1.2462015461352371,1.2662186782164808,False
2026-01-02,ridge_full,10,0.5,4.112498259626788,4.124403757542579,False
2026-01-05,ridge_full,10,0.3,2.5535037776465415,2.4675845778191197,False
2026-01-06,ridge_full,10,0.8,2.3486976984679657,2.6907827824869823,False
